Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Pink,Navy,1,1,5-5,Emerson Wise,1,7,2,5,11,2,3,,TRUE,5,5,0,
Pink,Navy,1,1,5-5,Jack Raines,0,6,6,10,10,2,3,,TRUE,5,5,1,
Navy,Pink,1,1,5-5,Will Burgess,1,5,5,4,16,3,4,,FALSE,5,5,2,
Navy,Pink,1,1,5-5,Declan Croucher,0,7,3,6,3,1,1,,FALSE,5,5,0,
Light Blue,Orange,1,1,1-6,Quinn Feikema,0,4,2,5,6,2,1,,FALSE,1,6,1,
Light Blue,Orange,1,1,1-6,Joel Trudgeon,0,3,1,2,2,2,0,,FALSE,1,6,0,
Orange,Light Blue,1,1,6-1,Luke Sharrock,1,2,1,4,4,0,8,,TRUE,6,1,2,
Orange,Light Blue,1,1,6-1,Ted Angel,0,3,0,4,8,3,1,,TRUE,6,1,0,
Green,Black,1,1,3-6,Will Mumme,0,6,0,8,2,1,1,,FALSE,3,6,0,
Green,Black,1,1,3-6,Lewis Mossman,0,8,3,7,9,5,2,,FALSE,3,6,1,
Black,Green,1,1,6-3,Archie Littlejohn,0,7,4,5,6,1,5,,TRUE,6,3,2,
Black,Green,1,1,6-3,Damon Maurice,0,6,2,9,0,0,2,,TRUE,6,3,0,
Red,Yellow,1,1,6-1,Charlie Simpson,0,6,2,3,7,1,5,,TRUE,6,1,2,
Red,Yellow,1,1,6-1,Angus Hume,0,2,4,3,5,0,2,,TRUE,6,1,1,
Yellow,Red,1,1,1-6,Ed Simpson,1,8,4,4,7,2,0,,FALSE,1,6,0,
Yellow,Red,1,1,1-6,George Belcher,0,2,1,0,4,1,1,,FALSE,1,6,0,
Green,Navy,1,2,1-6,Will Mumme,0,4,5,3,8,2,1,,FALSE,1,6,0,
Green,Navy,1,2,1-6,Lewis Mossman,0,3,5,4,5,1,1,,FALSE,1,6,0,
Navy,Green,1,2,6-1,Emerson Wise,0,1,2,0,3,0,4,,TRUE,6,1,1,
Navy,Green,1,2,6-1,Jack Raines,0,7,5,6,9,0,5,,TRUE,6,1,2,
White,Black,1,2,6-3,Jonathan Kierce,1,5,1,3,13,0,5,,TRUE,6,3,2,
White,Black,1,2,6-3,Ethan Seamer,0,12,0,6,4,3,8,,TRUE,6,3,1,
Black,White,1,2,3-6,Archie Littlejohn,0,6,1,9,6,1,0,,FALSE,3,6,0,
Black,White,1,2,3-6,Damon Maurice,0,6,0,7,6,1,4,,FALSE,3,6,0,
Orange,Red,1,2,1-6,Luke Sharrock,0,12,1,10,12,0,0,,FALSE,1,6,0,
Orange,Red,1,2,1-6,Ted Angel,0,3,4,7,5,0,6,,FALSE,1,6,1,
Red,Orange,1,2,6-1,Angus Hume,0,3,0,4,8,0,2,,TRUE,6,1,0,
Red,Orange,1,2,6-1,Charlie Simpson,0,5,3,3,7,0,7,,TRUE,6,1,2,
Light Blue,Pink,1,2,1-6,Quinn Feikema,0,6,2,4,12,3,1,,FALSE,1,6,1,
Light Blue,Pink,1,2,1-6,James Papa,0,8,6,2,3,2,0,,FALSE,1,6,0,
Pink,Light Blue,1,2,6-1,Declan Croucher,1,3,4,4,0,0,1,,TRUE,6,1,2,
Pink,Light Blue,1,2,6-1,Archie Littlejohn (Fill-in),0,4,3,5,5,0,1,,TRUE,6,1,0,
White,Navy,1,3,1-6,Jonathan Kierce,0,5,6,4,7,1,3,,FALSE,1,6,0,
White,Navy,1,3,1-6,Ethan Seamer,0,11,2,5,4,0,2,,FALSE,1,6,0,
Navy,White,1,3,6-1,Emerson Wise,0,5,2,8,4,1,2,,TRUE,6,1,1,
Navy,White,1,3,6-1,Jack Raines,0,5,5,21,0,0,2,,TRUE,6,1,2,
Green,Light Blue,1,3,6-3,Will Mumme,0,9,1,7,5,0,4,,TRUE,6,3,0,
Green,Light Blue,1,3,6-3,Lewis Mossman,0,9,4,9,2,1,6,,TRUE,6,3,2,
Light Blue,Green,1,3,3-6,Quinn Feikema,0,4,2,11,7,1,1,,FALSE,3,6,1,
Light Blue,Green,1,3,3-6,Damon Maurice (Fill-in),0,9,5,8,6,0,0,,FALSE,3,6,0,
Yellow,Orange,1,3,1-6,Ed Simpson,0,4,6,6,6,0,0,,FALSE,1,6,0,
Yellow,Orange,1,3,1-6,Jimmy Gorton,0,5,4,4,14,1,2,,FALSE,1,6,0,
Orange,Yellow,1,3,6-1,Luke Sharrock,0,3,2,5,5,0,3,,TRUE,6,1,2,
Orange,Yellow,1,3,6-1,Ted Angel,0,7,2,11,0,0,4,,TRUE,6,1,1,
Pink,Red,1,3,5-5,Jonathan Kierce (Fill-in),2,2,0,2,11,1,2,,FALSE,5,5,0,
Pink,Red,1,3,5-5,Declan Croucher,0,9,1,7,5,0,2,,FALSE,5,5,1,
Red,Pink,1,3,5-5,Angus Hume,0,6,0,6,3,0,1,,TRUE,5,5,0,
Red,Pink,1,3,5-5,Archie Littlejohn (Fill-in),0,4,2,0,5,0,10,,TRUE,5,5,2,
Orange,Black,1,4,6-1,Luke Sharrock,1,4,1,4,6,2,7,,TRUE,6,1,2,
Orange,Black,1,4,6-1,Ted Angel,0,4,1,9,5,1,1,,TRUE,6,1,0,
Black,Orange,1,4,1-6,Archie Littlejohn,0,4,6,8,6,0,3,,FALSE,1,6,1,
Black,Orange,1,4,1-6,Damon Maurice,0,2,5,4,6,2,0,,FALSE,1,6,0,
Red,Light Blue,1,4,6-2,Charlie Simpson,1,2,5,5,5,0,3,,TRUE,6,2,2,
Red,Light Blue,1,4,6-2,Angus Hume,0,4,2,5,4,0,2,,TRUE,6,2,0,
Light Blue,Red,1,4,2-6,Quinn Feikema,0,4,4,7,6,1,1,,FALSE,2,6,1,
Light Blue,Red,1,4,2-6,James Papa,0,7,1,5,10,2,1,,FALSE,2,6,0,
White,Pink,1,4,6-2,Jonathan Kierce,0,6,5,4,10,1,8,,TRUE,6,2,2,
White,Pink,1,4,6-2,Ethan Seamer,0,13,0,7,10,0,4,,TRUE,6,2,1,
Pink,White,1,4,2-6,Declan Croucher,0,4,4,5,1,0,3,,FALSE,2,6,0,
Pink,White,1,4,2-6,Shayl Inlander,2,15,2,11,18,3,0,,FALSE,2,6,0,
Yellow,Navy,1,4,6-3,Jimmy Gorton,0,8,1,3,8,1,4,,TRUE,6,3,2,
Yellow,Navy,1,4,6-3,Ed Simpson,0,12,1,3,9,0,3,,TRUE,6,3,1,
Navy,Yellow,1,4,3-6,Emerson Wise,1,3,0,10,10,1,2,,FALSE,3,6,0,
Navy,Yellow,1,4,3-6,Jack Raines,0,15,3,6,7,2,2,,FALSE,3,6,0,
Red,Green,1,5,6-0,Charlie Simpson,0,2,0,3,4,0,3,,TRUE,6,0,2,
Red,Green,1,5,6-0,Angus Hume,0,4,0,3,1,0,1,,TRUE,6,0,1,
Green,Red,1,5,0-6,Will Mumme,0,4,5,0,4,1,0,,FALSE,0,6,0,
Green,Red,1,5,0-6,Lewis Mossman,0,3,6,7,6,1,1,,FALSE,0,6,0,
Navy,Black,1,5,6-2,Jack Raines,0,7,4,4,2,0,1,,TRUE,6,2,0,
Navy,Black,1,5,6-2,Emerson Wise,0,5,3,11,1,0,13,,TRUE,6,2,2,
Black,Navy,1,5,2-6,Archie Littlejohn,0,5,1,6,8,1,5,,FALSE,2,6,1,
Black,Navy,1,5,2-6,Damon Maurice,0,4,4,3,6,0,0,,FALSE,2,6,0,
White,Light Blue,1,5,6-0,Jonathan Kierce,0,2,0,4,4,0,3,,TRUE,6,0,1,
White,Light Blue,1,5,6-0,Ethan Seamer,0,1,0,7,3,1,7,,TRUE,6,0,2,
Light Blue,White,1,5,0-6,Quinn Feikema,0,5,1,7,6,1,1,,FALSE,0,6,0,
Light Blue,White,1,5,0-6,James Papa,0,5,2,1,3,2,2,,FALSE,0,6,0,
Yellow,Pink,1,5,6-1,Jimmy Gorton,0,7,1,7,14,4,4,,TRUE,6,1,2,
